Gravedad,Modalidad,Motivación,Área Geográfica,Crímenes Graves,Crímenes Menores,Crímenes Violentos,Crímenes No Violentos,Crímenes Motivación Económica,Crímenes de Odio,Crímenes de Pasión/Venganza,Crímenes Urbanos,Crímenes Rurales,Naturaleza,Temporalidad,Involucramiento Tecnológico,Estado del Caso,Crímenes contra Personas,Crímenes contra Propiedad,Crímenes Sexuales,Crímenes Económicos,Crímenes Periodo Anual,Crímenes Hora Día,Cibercrímenes,Crímenes Tradicionales,Casos Resueltos,Casos no resueltos
Alta,Robo de identidad,Rencor,Mérida,1130,9342,Violación,Hurto,Contrabando,Homofobia,Rencor,Robo,Robo de ganado,Oportunidad,2024-08-20,Bajo,Resuelto,31,31,56,12,578,7,0,0,47,84
Alta,Robo de vehículos,Protesta,Durango,5521,9149,Homicidio,Hurto,Fraude bancario,Racismo,Rencor,Asalto,Tráfico de especies,Oportunidad,2024-04-13,Bajo,No resuelto,83,27,66,60,30,20,1,0,77,54
Alta,Fraude bancario,Oportunidad,Ciudad de México,7606,9832,Secuestro,Robo menor,Contrabando,Racismo,Despecho,Vandalismo,Robo de ganado,Fraude,2023-10-18,Bajo,Resuelto,69,74,75,33,565,10,0,0,50,4
Baja,Violencia doméstica,Rencor,Veracruz,5368,7763,Homicidio,Fraude,Lavado de dinero,Homofobia,Rencor,Vandalismo,Caza ilegal,Fraude,2024-03-02,Ninguno,No resuelto,26,71,77,70,351,10,0,1,26,90
Media,Violencia doméstica,Fraude,Saltillo,289,9244,Extorsión,Hurto,Fraude bancario,Xenofobia,Celos,Vandalismo,Robo de ganado,Fraude,2024-02-26,Ninguno,No resuelto,22,1,53,91,77,17,0,0,17,39
Media,Tráfico de drogas,Criminal,Puebla,7784,6301,Extorsión,Robo menor,Lavado de dinero,Homofobia,Despecho,Robo,Caza ilegal,Criminal,2024-02-08,Alto,Resuelto,1,94,52,9,805,18,1,1,55,21
Baja,Extorsión,Financiera,Mexicali,2642,6713,Secuestro,Fraude,Fraude bancario,Xenofobia,Celos,Robo,Robo de ganado,Financiera,2024-07-08,Bajo,No resuelto,79,27,22,76,339,14,0,0,22,12
Alta,Vandalismo,Económica,Chihuahua,9609,7251,Extorsión,Estafa,Lavado de dinero,Xenofobia,Despecho,Asalto,Robo de ganado,Criminal,2024-05-25,Ninguno,Resuelto,91,42,43,97,556,10,1,1,72,2
Baja,Robo de vehículos,Rencor,Mexicali,4139,6817,Violación,Estafa,Contrabando,Xenofobia,Rencor,Robo,Robo de ganado,Criminal,2024-01-24,Bajo,No resuelto,58,66,10,9,814,7,0,1,27,88
Baja,Hurto menor,Económica,Mérida,8379,9909,Homicidio,Hurto,Fraude bancario,Xenofobia,Rencor,Asalto,Robo de ganado,Oportunidad,2024-06-25,Alto,Resuelto,80,17,86,59,402,0,0,1,24,17
Media,Tráfico de drogas,Criminal,Mexicali,2025,674,Asalto,Estafa,Contrabando,Racismo,Despecho,Robo,Robo de ganado,Oportunidad,2024-09-30,Bajo,No resuelto,51,99,42,75,57,17,0,0,85,57
Media,Daños a la propiedad,Criminal,Toluca,2519,1677,Extorsión,Fraude,Contrabando,Xenofobia,Celos,Vandalismo,Tráfico de especies,Financiera,2024-07-05,Bajo,No resuelto,54,79,23,47,3,20,1,0,39,79
Media,Ciberacoso,Rencor,Toluca,6782,1323,Asalto,Hurto,Contrabando,Racismo,Despecho,Vandalismo,Tráfico de especies,Oportunidad,2024-05-17,Ninguno,No resuelto,69,92,86,4,237,18,0,0,29,41
Baja,Violencia doméstica,Oportunidad,Zacatecas,3970,9851,Extorsión,Robo menor,Lavado de dinero,Xenofobia,Despecho,Asalto,Tráfico de especies,Fraude,2024-02-11,Alto,Resuelto,85,33,57,16,859,18,1,1,68,18
Alta,Daños a la propiedad,Rencor,Torreón,1294,7863,Homicidio,Estafa,Lavado de dinero,Racismo,Celos,Vandalismo,Tráfico de especies,Oportunidad,2023-11-23,Bajo,Resuelto,47,77,32,59,328,7,0,1,37,25
Alta,Tráfico de drogas,Personal,Monterrey,9033,7588,Violación,Robo menor,Lavado de dinero,Homofobia,Rencor,Asalto,Tráfico de especies,Financiera,2024-03-29,Alto,Resuelto,60,41,85,44,850,24,0,0,6,28
Media,Violencia doméstica,Rencor,Torreón,4070,6522,Secuestro,Robo menor,Lavado de dinero,Xenofobia,Celos,Robo,Tráfico de especies,Fraude,2023-12-21,Alto,Resuelto,38,82,51,37,61,24,0,0,54,56
Alta,Acoso verbal,Criminal,Querétaro,7118,8414,Homicidio,Estafa,Lavado de dinero,Xenofobia,Despecho,Asalto,Caza ilegal,Criminal,2024-08-29,Ninguno,No resuelto,82,31,100,13,229,18,0,0,50,56
Alta,Tráfico de drogas,Fraude,Hermosillo,4059,6986,Violación,Estafa,Contrabando,Racismo,Rencor,Vandalismo,Tráfico de especies,Criminal,2024-10-08,Ninguno,Resuelto,75,3,11,17,327,7,1,1,92,57
Baja,Tráfico de drogas,Oportunidad,Puebla,3552,8373,Extorsión,Robo menor,Fraude bancario,Racismo,Despecho,Vandalismo,Caza ilegal,Criminal,2024-02-27,Ninguno,Resuelto,67,56,85,97,672,2,1,1,46,93
Media,Violencia doméstica,Personal,Chihuahua,9049,4424,Secuestro,Fraude,Lavado de dinero,Xenofobia,Despecho,Robo,Tráfico de especies,Oportunidad,2023-11-28,Bajo,No resuelto,12,41,86,84,899,9,1,1,44,59
Media,Asalto con violencia,Rencor,Ciudad de México,4605,1305,Homicidio,Estafa,Lavado de dinero,Racismo,Despecho,Robo,Robo de ganado,Criminal,2024-10-07,Alto,No resuelto,0,27,68,93,575,19,1,0,8,16
Baja,Daños a la propiedad,Financiera,Monterrey,7273,8821,Extorsión,Robo menor,Lavado de dinero,Homofobia,Rencor,Robo,Tráfico de especies,Financiera,2024-10-03,Alto,No resuelto,56,26,44,83,111,14,0,0,9,15
Baja,Acoso verbal,Criminal,La Paz,6202,6012,Violación,Robo menor,Lavado de dinero,Xenofobia,Despecho,Asalto,Caza ilegal,Financiera,2024-08-13,Bajo,Resuelto,66,20,44,8,51,8,1,1,89,66
Alta,Hurto,Oportunidad,Hermosillo,916,6384,Homicidio,Robo menor,Contrabando,Racismo,Despecho,Vandalismo,Robo de ganado,Oportunidad,2024-09-21,Alto,No resuelto,1,65,63,30,526,16,0,1,100,57
Alta,Contrabando,Oportunidad,Zacatecas,7540,1402,Secuestro,Fraude,Lavado de dinero,Homofobia,Celos,Vandalismo,Tráfico de especies,Fraude,2024-05-25,Ninguno,No resuelto,11,54,37,56,605,9,1,0,35,54
Alta,Vandalismo,Rescate,Tijuana,2920,3850,Secuestro,Estafa,Lavado de dinero,Homofobia,Rencor,Asalto,Tráfico de especies,Criminal,2023-11-01,Bajo,No resuelto,86,87,57,55,585,9,0,1,27,49
Alta,Fraude electrónico,Oportunidad,La Paz,7610,9779,Asalto,Fraude,Contrabando,Xenofobia,Celos,Vandalismo,Caza ilegal,Oportunidad,2024-03-20,Ninguno,No resuelto,48,49,75,51,147,21,0,0,16,5
Media,Homicidio,Criminal,Tijuana,4477,2939,Asalto,Robo menor,Lavado de dinero,Homofobia,Despecho,Robo,Tráfico de especies,Criminal,2023-11-02,Bajo,No resuelto,71,79,91,28,793,19,0,0,63,91
Media,Violencia doméstica,Personal,Querétaro,1771,1675,Violación,Robo menor,Fraude bancario,Homofobia,Rencor,Asalto,Tráfico de especies,Criminal,2023-10-15,Bajo,No resuelto,32,6,93,33,491,13,0,0,13,94
Baja,Asalto con violencia,Personal,Hermosillo,2466,4153,Homicidio,Robo menor,Fraude bancario,Xenofobia,Celos,Asalto,Caza ilegal,Financiera,2024-07-05,Bajo,No resuelto,44,63,28,15,485,22,1,0,87,81
Baja,Robo de vehículos,Rescate,Monterrey,9278,3235,Violación,Fraude,Lavado de dinero,Racismo,Despecho,Asalto,Tráfico de especies,Oportunidad,2024-01-03,Ninguno,Resuelto,1,68,34,58,884,9,0,0,77,33
Baja,Secuestro,Rescate,León,2608,3988,Asalto,Fraude,Fraude bancario,Xenofobia,Despecho,Vandalismo,Robo de ganado,Criminal,2024-02-04,Bajo,Resuelto,13,11,29,48,442,2,0,0,13,2
Baja,Daños a la propiedad,Económica,Puebla,3385,2198,Homicidio,Hurto,Contrabando,Homofobia,Celos,Asalto,Caza ilegal,Criminal,2024-07-19,Alto,No resuelto,53,40,16,19,282,14,0,1,93,0
Baja,Asalto con violencia,Rencor,Torreón,5918,1880,Homicidio,Hurto,Fraude bancario,Xenofobia,Despecho,Asalto,Caza ilegal,Oportunidad,2024-05-06,Alto,No resuelto,6,58,17,80,597,7,0,1,39,71
Alta,Fraude bancario,Rescate,Durango,4612,3094,Secuestro,Hurto,Contrabando,Xenofobia,Rencor,Vandalismo,Caza ilegal,Fraude,2024-03-05,Alto,Resuelto,30,83,88,78,797,2,0,0,96,33
Alta,Violencia doméstica,Económica,Ciudad de México,7392,1937,Violación,Hurto,Contrabando,Xenofobia,Celos,Asalto,Robo de ganado,Oportunidad,2024-06-01,Ninguno,Resuelto,55,93,82,24,668,1,1,0,9,43
Baja,Tráfico de drogas,Financiera,Veracruz,724,1788,Homicidio,Estafa,Contrabando,Xenofobia,Rencor,Robo,Tráfico de especies,Criminal,2024-05-20,Ninguno,Resuelto,42,29,40,51,137,11,0,1,38,61
Alta,Estafa,Personal,Tijuana,5006,4917,Secuestro,Hurto,Fraude bancario,Homofobia,Rencor,Vandalismo,Robo de ganado,Financiera,2024-09-03,Bajo,Resuelto,38,45,56,91,202,19,0,0,64,74
Media,Robo de vehículos,Personal,Saltillo,5414,7282,Violación,Hurto,Contrabando,Racismo,Rencor,Vandalismo,Robo de ganado,Fraude,2024-08-06,Bajo,No resuelto,75,6,11,5,253,24,1,1,24,90
Media,Asalto con violencia,Oportunidad,La Paz,6509,6126,Secuestro,Hurto,Fraude bancario,Homofobia,Celos,Robo,Tráfico de especies,Criminal,2023-11-22,Bajo,No resuelto,19,14,56,92,205,19,1,0,10,92
Media,Robo de identidad,Financiera,Mexicali,4674,4645,Violación,Robo menor,Contrabando,Homofobia,Celos,Asalto,Caza ilegal,Oportunidad,2024-02-07,Alto,Resuelto,5,80,90,15,117,8,0,1,65,11
Media,Homicidio,Financiera,La Paz,1472,6978,Extorsión,Estafa,Contrabando,Racismo,Despecho,Robo,Tráfico de especies,Criminal,2024-04-09,Ninguno,Resuelto,53,86,68,33,654,20,0,0,52,16
Media,Hurto menor,Oportunidad,Mexicali,7911,2520,Homicidio,Fraude,Contrabando,Xenofobia,Celos,Robo,Caza ilegal,Criminal,2023-11-06,Alto,No resuelto,99,90,17,59,188,9,0,1,41,59
Baja,Estafa,Rescate,Saltillo,9885,7441,Secuestro,Estafa,Fraude bancario,Homofobia,Celos,Asalto,Caza ilegal,Financiera,2024-08-05,Alto,No resuelto,95,83,87,59,380,9,1,0,3,38
Baja,Robo de identidad,Criminal,Puebla,9843,7347,Homicidio,Hurto,Contrabando,Homofobia,Celos,Asalto,Robo de ganado,Criminal,2023-12-25,Alto,No resuelto,20,51,62,69,48,11,0,1,16,78
Alta,Fraude electrónico,Oportunidad,Querétaro,5457,7830,Violación,Robo menor,Fraude bancario,Xenofobia,Celos,Asalto,Tráfico de especies,Oportunidad,2024-09-22,Bajo,No resuelto,81,83,43,34,850,19,1,0,90,6
Media,Asalto con violencia,Financiera,La Paz,6370,9974,Secuestro,Robo menor,Fraude bancario,Xenofobia,Celos,Robo,Robo de ganado,Financiera,2024-08-27,Ninguno,Resuelto,22,88,94,11,426,12,0,0,84,37
Baja,Contrabando,Financiera,Torreón,5458,4658,Asalto,Robo menor,Lavado de dinero,Homofobia,Celos,Vandalismo,Robo de ganado,Oportunidad,2024-05-21,Bajo,Resuelto,67,0,26,13,418,17,1,0,46,58
Alta,Extorsión,Criminal,Monterrey,9826,1830,Asalto,Estafa,Lavado de dinero,Racismo,Despecho,Vandalismo,Robo de ganado,Fraude,2023-11-07,Alto,Resuelto,98,7,99,12,935,1,1,0,39,92
Media,Fraude bancario,Rencor,Zacatecas,3426,3044,Homicidio,Hurto,Contrabando,Xenofobia,Despecho,Asalto,Tráfico de especies,Fraude,2024-04-04,Ninguno,Resuelto,3,46,14,69,747,21,1,1,100,81
Media,Fraude electrónico,Fraude,Puebla,5735,3515,Extorsión,Hurto,Lavado de dinero,Racismo,Celos,Vandalismo,Tráfico de especies,Oportunidad,2024-07-10,Alto,No resuelto,100,46,48,84,566,12,1,1,77,97
Baja,Vandalismo,Protesta,Mexicali,771,2503,Homicidio,Fraude,Fraude bancario,Racismo,Celos,Vandalismo,Caza ilegal,Fraude,2024-08-02,Ninguno,Resuelto,15,10,96,20,315,10,0,0,36,17
Alta,Fraude bancario,Protesta,Mérida,7596,1448,Extorsión,Estafa,Contrabando,Xenofobia,Despecho,Robo,Robo de ganado,Financiera,2023-10-12,Alto,No resuelto,12,83,0,12,336,0,1,1,39,68
Alta,Violencia doméstica,Personal,Mexicali,1612,5838,Homicidio,Fraude,Lavado de dinero,Homofobia,Celos,Robo,Robo de ganado,Criminal,2023-10-23,Bajo,Resuelto,83,76,81,4,217,6,1,0,79,61
Media,Secuestro,Oportunidad,Reynosa,8548,9606,Violación,Hurto,Fraude bancario,Homofobia,Despecho,Asalto,Caza ilegal,Financiera,2024-03-09,Alto,No resuelto,85,56,66,30,327,18,1,1,24,70
Media,Daños a la propiedad,Criminal,Veracruz,9845,6029,Homicidio,Hurto,Contrabando,Racismo,Rencor,Vandalismo,Tráfico de especies,Criminal,2024-02-14,Alto,No resuelto,97,9,73,67,566,4,0,1,40,74
Media,Asalto con violencia,Protesta,Durango,1077,4212,Homicidio,Estafa,Lavado de dinero,Homofobia,Rencor,Asalto,Tráfico de especies,Financiera,2024-09-12,Ninguno,Resuelto,58,77,48,78,975,3,1,0,89,48
Baja,Asalto con violencia,Oportunidad,Hermosillo,7642,5697,Violación,Fraude,Fraude bancario,Racismo,Despecho,Asalto,Caza ilegal,Criminal,2024-08-18,Bajo,No resuelto,67,72,61,36,468,3,0,0,7,47
Alta,Hurto,Protesta,Veracruz,8397,8529,Violación,Hurto,Lavado de dinero,Xenofobia,Rencor,Asalto,Caza ilegal,Fraude,2024-04-03,Alto,No resuelto,79,14,60,50,876,19,1,1,55,37
Alta,Asalto con violencia,Fraude,Veracruz,8827,7646,Secuestro,Fraude,Contrabando,Racismo,Rencor,Robo,Caza ilegal,Oportunidad,2023-12-14,Ninguno,No resuelto,43,49,91,20,563,6,0,0,17,42
Media,Estafa,Personal,Veracruz,1207,2738,Homicidio,Fraude,Lavado de dinero,Xenofobia,Rencor,Asalto,Robo de ganado,Fraude,2024-06-02,Alto,No resuelto,87,52,29,51,292,22,1,0,45,82
Media,Robo de identidad,Criminal,Chihuahua,8904,4372,Violación,Fraude,Fraude bancario,Racismo,Despecho,Vandalismo,Caza ilegal,Fraude,2023-12-08,Ninguno,Resuelto,45,52,82,69,483,12,0,0,85,16
Media,Estafa,Personal,Ciudad de México,758,9224,Secuestro,Fraude,Fraude bancario,Homofobia,Despecho,Vandalismo,Robo de ganado,Criminal,2024-07-12,Ninguno,No resuelto,13,70,57,90,694,19,1,0,38,9
Alta,Hurto menor,Personal,Guadalajara,1066,6393,Asalto,Hurto,Fraude bancario,Racismo,Rencor,Robo,Tráfico de especies,Fraude,2023-12-12,Ninguno,Resuelto,8,45,79,31,89,12,1,0,12,1
Baja,Daños a la propiedad,Económica,Reynosa,243,4088,Homicidio,Estafa,Lavado de dinero,Xenofobia,Despecho,Vandalismo,Tráfico de especies,Financiera,2023-11-05,Alto,No resuelto,18,3,3,10,611,22,0,0,72,13
Baja,Hurto,Personal,Veracruz,1367,2563,Asalto,Fraude,Fraude bancario,Xenofobia,Rencor,Vandalismo,Caza ilegal,Criminal,2024-01-29,Bajo,Resuelto,64,42,1,30,195,9,1,0,7,75
Media,Homicidio,Rescate,Saltillo,3541,8878,Violación,Fraude,Fraude bancario,Xenofobia,Celos,Vandalismo,Caza ilegal,Fraude,2024-03-13,Bajo,Resuelto,42,78,15,97,773,15,1,1,92,18
Media,Asalto con violencia,Fraude,Guadalajara,8103,791,Homicidio,Robo menor,Contrabando,Homofobia,Rencor,Asalto,Robo de ganado,Financiera,2024-03-15,Ninguno,Resuelto,90,41,93,17,328,3,1,1,7,32
Baja,Extorsión,Oportunidad,Hermosillo,6821,2260,Extorsión,Robo menor,Fraude bancario,Homofobia,Rencor,Robo,Tráfico de especies,Oportunidad,2024-04-08,Ninguno,Resuelto,72,70,34,83,417,3,1,0,81,57
Baja,Tráfico de drogas,Financiera,Torreón,3229,2851,Homicidio,Hurto,Fraude bancario,Racismo,Rencor,Robo,Caza ilegal,Fraude,2023-12-31,Bajo,Resuelto,76,94,83,81,273,1,0,1,89,10
Alta,Hurto menor,Rencor,Puebla,3032,4017,Violación,Estafa,Contrabando,Racismo,Despecho,Asalto,Robo de ganado,Oportunidad,2023-12-21,Bajo,No resuelto,98,5,13,88,184,6,1,1,74,96
Baja,Contrabando,Fraude,Ciudad de México,7948,6652,Homicidio,Hurto,Lavado de dinero,Xenofobia,Celos,Asalto,Caza ilegal,Oportunidad,2024-10-11,Ninguno,Resuelto,21,2,58,47,457,3,1,0,86,89
Media,Fraude bancario,Rescate,Veracruz,3533,9281,Violación,Fraude,Contrabando,Homofobia,Rencor,Vandalismo,Tráfico de especies,Oportunidad,2023-11-26,Bajo,Resuelto,96,34,16,10,872,0,1,0,31,68
Baja,Ciberacoso,Personal,Tijuana,6060,3712,Extorsión,Hurto,Contrabando,Xenofobia,Rencor,Asalto,Caza ilegal,Oportunidad,2024-02-07,Ninguno,Resuelto,94,31,91,23,432,6,1,0,23,93
Media,Tráfico de drogas,Oportunidad,Hermosillo,6382,3192,Violación,Estafa,Fraude bancario,Xenofobia,Despecho,Robo,Robo de ganado,Financiera,2024-06-07,Alto,Resuelto,13,23,11,82,645,11,0,1,8,62
Alta,Hurto,Económica,La Paz,7645,8077,Homicidio,Fraude,Contrabando,Racismo,Rencor,Asalto,Robo de ganado,Oportunidad,2024-06-20,Alto,No resuelto,82,95,45,72,492,11,1,1,46,58
Media,Robo de identidad,Rencor,Hermosillo,6607,541,Violación,Estafa,Contrabando,Xenofobia,Celos,Asalto,Robo de ganado,Oportunidad,2024-06-10,Bajo,Resuelto,13,18,77,2,881,23,1,1,31,24
Alta,Acoso verbal,Protesta,Tijuana,3424,4378,Secuestro,Fraude,Lavado de dinero,Xenofobia,Rencor,Robo,Robo de ganado,Oportunidad,2024-01-08,Ninguno,No resuelto,99,79,87,66,632,16,1,1,80,55
Baja,Secuestro,Rencor,Querétaro,1825,1190,Extorsión,Fraude,Fraude bancario,Racismo,Rencor,Vandalismo,Caza ilegal,Criminal,2024-01-16,Bajo,Resuelto,11,66,37,31,524,1,0,1,35,5
Baja,Estafa,Personal,Querétaro,6481,5530,Secuestro,Estafa,Lavado de dinero,Xenofobia,Despecho,Asalto,Tráfico de especies,Oportunidad,2024-08-05,Alto,No resuelto,78,43,78,44,529,24,0,1,60,92
Media,Contrabando,Personal,Veracruz,465,5393,Asalto,Fraude,Fraude bancario,Homofobia,Rencor,Vandalismo,Caza ilegal,Financiera,2024-07-24,Alto,No resuelto,73,33,89,98,928,5,1,1,27,78
Baja,Hurto,Oportunidad,Querétaro,5235,1745,Extorsión,Hurto,Lavado de dinero,Homofobia,Celos,Robo,Robo de ganado,Oportunidad,2024-07-26,Ninguno,No resuelto,96,81,18,81,728,11,1,1,4,95
Alta,Tráfico de drogas,Rescate,Durango,7846,5305,Extorsión,Hurto,Contrabando,Xenofobia,Celos,Asalto,Robo de ganado,Financiera,2023-12-11,Bajo,No resuelto,44,32,2,57,350,5,0,0,68,19
Alta,Vandalismo,Fraude,Saltillo,6892,1843,Extorsión,Fraude,Lavado de dinero,Racismo,Rencor,Vandalismo,Tráfico de especies,Criminal,2024-02-11,Ninguno,Resuelto,45,52,63,64,815,6,1,0,74,76
Baja,Hurto menor,Fraude,Mérida,8291,5978,Secuestro,Fraude,Lavado de dinero,Racismo,Despecho,Robo,Caza ilegal,Fraude,2024-01-25,Alto,Resuelto,53,81,82,1,819,4,1,1,9,33
Media,Fraude electrónico,Fraude,Reynosa,3662,4070,Homicidio,Estafa,Lavado de dinero,Xenofobia,Celos,Robo,Robo de ganado,Oportunidad,2024-08-10,Ninguno,No resuelto,77,82,80,51,227,8,0,1,14,7
Alta,Fraude bancario,Rescate,Toluca,7774,413,Homicidio,Robo menor,Lavado de dinero,Homofobia,Despecho,Vandalismo,Robo de ganado,Criminal,2024-02-28,Alto,No resuelto,4,56,8,36,563,4,0,0,9,100
Alta,Hurto menor,Protesta,La Paz,8192,8620,Violación,Estafa,Fraude bancario,Homofobia,Rencor,Vandalismo,Robo de ganado,Financiera,2023-11-03,Ninguno,Resuelto,76,87,78,83,291,8,1,0,11,0
Alta,Extorsión,Rencor,Toluca,2385,2684,Secuestro,Hurto,Fraude bancario,Xenofobia,Despecho,Asalto,Tráfico de especies,Financiera,2024-01-02,Alto,Resuelto,96,52,43,29,110,13,0,0,32,69
Alta,Hurto menor,Personal,Torreón,5573,8150,Extorsión,Fraude,Fraude bancario,Racismo,Despecho,Robo,Caza ilegal,Criminal,2024-07-08,Alto,Resuelto,95,21,96,100,568,13,1,0,7,89
Baja,Hurto,Protesta,Querétaro,9530,9565,Homicidio,Estafa,Lavado de dinero,Homofobia,Celos,Robo,Robo de ganado,Financiera,2023-10-12,Ninguno,Resuelto,37,37,7,9,843,3,0,1,87,49
Alta,Extorsión,Económica,Torreón,6943,4231,Secuestro,Robo menor,Fraude bancario,Homofobia,Despecho,Robo,Tráfico de especies,Criminal,2024-01-17,Bajo,Resuelto,49,33,98,25,492,12,0,1,47,4
Baja,Acoso verbal,Rescate,Querétaro,2426,6592,Secuestro,Robo menor,Fraude bancario,Homofobia,Despecho,Vandalismo,Robo de ganado,Criminal,2024-09-13,Bajo,No resuelto,19,56,44,63,258,22,0,1,29,61
Media,Asalto con violencia,Económica,Reynosa,8969,9981,Extorsión,Fraude,Contrabando,Xenofobia,Despecho,Robo,Robo de ganado,Financiera,2024-02-13,Alto,No resuelto,1,53,13,89,765,3,1,1,68,89
Media,Robo de identidad,Protesta,Toluca,83,7779,Extorsión,Robo menor,Contrabando,Homofobia,Celos,Asalto,Caza ilegal,Financiera,2024-07-18,Ninguno,No resuelto,42,61,32,19,316,11,1,0,44,44
Alta,Violencia doméstica,Protesta,Reynosa,4048,2821,Violación,Estafa,Fraude bancario,Xenofobia,Rencor,Asalto,Tráfico de especies,Criminal,2023-10-31,Ninguno,Resuelto,98,28,5,87,513,1,1,0,60,46
Alta,Robo de vehículos,Financiera,Querétaro,5032,5844,Homicidio,Fraude,Lavado de dinero,Xenofobia,Rencor,Asalto,Robo de ganado,Oportunidad,2024-07-07,Alto,Resuelto,95,15,17,56,559,19,0,1,56,73
Media,Tráfico de drogas,Personal,Hermosillo,517,1302,Violación,Hurto,Contrabando,Racismo,Despecho,Vandalismo,Tráfico de especies,Criminal,2024-06-01,Ninguno,No resuelto,26,68,86,65,307,18,0,1,58,38
Media,Fraude electrónico,Personal,Durango,3886,9842,Secuestro,Robo menor,Contrabando,Homofobia,Celos,Robo,Tráfico de especies,Oportunidad,2024-06-16,Ninguno,No resuelto,64,92,72,97,726,18,1,0,57,44
Alta,Hurto menor,Rescate,Mérida,970,8748,Homicidio,Fraude,Fraude bancario,Xenofobia,Celos,Asalto,Tráfico de especies,Oportunidad,2024-07-29,Alto,No resuelto,56,11,81,83,856,15,0,0,89,50
Alta,Hurto menor,Criminal,Reynosa,9446,2453,Secuestro,Estafa,Lavado de dinero,Xenofobia,Celos,Asalto,Tráfico de especies,Oportunidad,2024-05-12,Bajo,Resuelto,31,86,68,10,999,17,1,1,8,31
Media,Secuestro,Oportunidad,Torreón,754,6880,Homicidio,Fraude,Contrabando,Homofobia,Rencor,Asalto,Robo de ganado,Financiera,2024-04-23,Ninguno,No resuelto,5,71,90,4,737,17,0,1,66,93
Alta,Homicidio,Económica,Aguascalientes,9929,215,Secuestro,Estafa,Fraude bancario,Homofobia,Despecho,Robo,Tráfico de especies,Criminal,2024-05-08,Bajo,No resuelto,92,91,43,23,523,7,1,1,71,81
Media,Hurto,Criminal,Toluca,6100,1178,Secuestro,Hurto,Lavado de dinero,Xenofobia,Despecho,Robo,Tráfico de especies,Fraude,2024-08-23,Ninguno,Resuelto,12,7,21,5,102,6,0,1,72,1
Media,Contrabando,Rescate,Aguascalientes,8036,7039,Asalto,Robo menor,Lavado de dinero,Homofobia,Celos,Asalto,Caza ilegal,Oportunidad,2024-06-21,Alto,No resuelto,67,29,38,16,90,24,1,0,51,10
Alta,Hurto,Oportunidad,Aguascalientes,7415,9633,Homicidio,Fraude,Fraude bancario,Xenofobia,Despecho,Vandalismo,Caza ilegal,Fraude,2024-09-08,Ninguno,No resuelto,30,72,50,38,212,2,0,1,69,53
